Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (1),0.7648605,8,16,0,299.8825
Capsule,5.977748,14,11,1,299.8825
17


Capsule (2),0.113006,9,8,1,299.8536
Capsule (6),0.1077996,9,15,0,299.8536
Capsule (5),0.985861,7,13,0,299.8536
Capsule (3),0.0120212,6,9,0,299.8536
Capsule (4),4.06843,12,9,1,299.8536
Capsule (7),0.0144272,10,9,1,299.8536
Capsule (1),10.27017,16,13,1,299.8536
Capsule,0.0109323,16,9,1,299.8536
18


Capsule (2),0.006167,5,8,0,299.7578
Capsule (6),0.015854,14,7,2,299.7578
Capsule (5),0.021379,4,10,0,299.7578
Capsule (3),0.3992999,16,9,1,299.7578
Capsule (4),0.2071999,15,13,1,299.7578
Capsule (7),3.229835,12,13,0,299.7578
Capsule (1),0.0115133,9,14,0,299.7578
Capsule,0.6803831,9,10,0,299.7578
19


Capsule (2),0.8085515,9,14,0,299.6771
Capsule (6),1.594718,11,12,0,299.6771
Capsule (5),0.4100204,6,10,0,299.6771
Capsule (3),0.0217656,22,11,2,299.6771
Capsule (4),2.767766,8,10,0,299.6771
Capsule (7),0.8804132,14,14,1,299.6771
Capsule (1),0.213221,16,10,1,299.6771
Capsule,6.558207,8,13,0,299.6771
20


Capsule (2),0.1423168,12,12,1,299.3396
Capsule (6),1.970187,10,15,0,299.3396
Capsule (5),0.2408325,11,11,1,299.3396
Capsule (3),4.101078,15,9,1,299.3396
Capsule (4),0.004324,12,13,0,299.3396
Capsule (7),0.0068634,14,11,1,299.3396
Capsule (1),0.0048444,13,19,0,299.3396
Capsule,7.711025,16,13,1,299.3396
21


Capsule (2),1.23202,15,15,1,299.8503
Capsule (6),0.4190875,16,17,0,299.8503
Capsule (5),2.157699,11,12,0,299.8503
Capsule (3),1.922618,16,8,2,299.8503
Capsule (4),0.0068645,9,11,0,299.8503
Capsule (7),0.8228995,16,12,1,299.8503
Capsule (1),8.735786,11,13,0,299.8503
Capsule,0.2758506,8,14,0,299.8503
22


Capsule (2),0.2239407,11,11,1,299.7653
Capsule (6),2.017015,6,10,0,299.7653
Capsule (5),2.6566,16,9,1,299.7653
Capsule (3),3.733184,14,12,1,299.7653
Capsule (4),0.0168659,9,9,1,299.7653
Capsule (7),0.0152257,14,13,1,299.7653
Capsule (1),0.0060789,9,10,0,299.7653
Capsule,8.355608,8,13,0,299.7653
23


Capsule (2),0.22168,16,12,1,299.3388
Capsule (6),0.0064034,17,16,1,299.3388
Capsule (5),1.401316,10,13,0,299.3388
Capsule (3),1.480301,12,14,0,299.3388
Capsule (4),9.267194,11,10,1,299.3388
Capsule (7),1.427322,17,14,1,299.3388
Capsule (1),1.209776,13,17,0,299.3388
Capsule,2.994944,13,13,1,299.3388
24


Capsule (2),0.0095874,14,11,1,299.7482
Capsule (6),1.695858,16,9,1,299.7482
Capsule (5),8.160844,8,9,0,299.7482
Capsule (3),5.082805,11,7,1,299.7482
Capsule (4),0.2148434,9,12,0,299.7482
Capsule (7),0.0630156,11,13,0,299.7482
Capsule (1),16.92105,8,8,1,299.7482
Capsule,0.6217319,8,16,0,299.7482
25


Capsule (2),0.6215117,14,12,1,299.6806
Capsule (6),0.007001,9,18,0,299.6806
Capsule (5),0.0100186,10,7,1,299.6806
Capsule (3),10.51824,16,9,1,299.6806
Capsule (4),0.0085015,5,14,0,299.6806
Capsule (7),2.588265,10,9,1,299.6806
Capsule (1),0.6183993,11,9,1,299.6806
Capsule,1.515221,13,10,1,299.6806
26


Capsule (2),1.827258,14,12,1,299.7405
Capsule (6),0.9517294,9,11,0,299.7405
Capsule (5),0.0094977,10,14,0,299.7405
Capsule (3),0.0068685,12,9,1,299.7405
Capsule (4),0.0150512,5,14,0,299.7405
Capsule (7),3.527558,14,12,1,299.7405
Capsule (1),2.677109,14,11,1,299.7405
Capsule,0.2139888,17,12,1,299.7405
27


Capsule (2),4.271896,8,11,0,299.8447
Capsule (6),0.0166992,15,9,1,299.8447
Capsule (5),0.0073562,12,11,1,299.8447
Capsule (3),0.0095363,14,14,1,299.8447
Capsule (4),8.631639,11,10,1,299.8447
Capsule (7),6.313653,7,12,0,299.8447
Capsule (1),1.793051,14,16,0,299.8447
Capsule,0.5331068,12,10,1,299.8447
28


Capsule (2),5.971518,13,13,1,299.335
Capsule (6),1.080578,13,10,1,299.335
Capsule (5),0.3481731,11,9,1,299.335
Capsule (3),1.858061,6,11,0,299.335
Capsule (4),0.3924128,17,11,1,299.335
Capsule (7),1.683481,8,13,0,299.335
Capsule (1),3.025907,11,11,1,299.335
Capsule,0.0065075,13,14,0,299.335
29


Capsule (2),1.494941,6,11,0,299.9031
Capsule (6),0.0165342,14,13,1,299.9031
Capsule (5),1.176175,14,15,0,299.9031
Capsule (3),0.6532859,11,11,1,299.9031
Capsule (4),4.217831,10,7,1,299.9031
Capsule (7),2.209388,18,9,2,299.9031
Capsule (1),1.177757,7,16,0,299.9031
Capsule,0.8607751,13,11,1,299.9031
30


Capsule (2),15.76412,12,11,1,299.3361
Capsule (6),0.0062123,13,11,1,299.3361
Capsule (5),0.0158713,12,11,1,299.3361
Capsule (3),13.44055,12,10,1,299.3361
Capsule (4),0.09971179,10,15,0,299.3361
Capsule (7),0.0087575,8,10,0,299.3361
Capsule (1),0.2588849,11,10,1,299.3361
Capsule,7.844352,9,9,1,299.3361
31


Capsule (2),4.629798,8,11,0,299.4868
Capsule (6),0.0099636,11,13,0,299.4868
Capsule (5),3.0997,11,9,1,299.4868
Capsule (3),1.812809,13,14,0,299.4868
Capsule (4),8.30699,16,6,2,299.4868
Capsule (7),0.2027631,13,17,0,299.4868
Capsule (1),0.3367015,10,12,0,299.4868
Capsule,0.4223128,13,13,1,299.4868
32


Capsule (2),2.699788,16,9,1,299.3386
Capsule (6),0.0109042,6,17,0,299.3386
Capsule (5),0.082293,10,14,0,299.3386
Capsule (3),2.387563,11,11,1,299.3386
Capsule (4),0.1693771,11,10,1,299.3386
Capsule (7),0.0069924,10,10,1,299.3386
Capsule (1),1.956255,15,10,1,299.3386
Capsule,1.33242,16,14,1,299.3386
33


Capsule (2),3.692625,9,15,0,299.8028
Capsule (6),1.431302,18,10,1,299.8028
Capsule (5),2.065583,17,10,1,299.8028
Capsule (3),1.674051,17,11,1,299.8028
Capsule (4),0.2756566,6,14,0,299.8028
Capsule (7),0.0222149,14,17,0,299.8028
Capsule (1),5.459766,11,13,0,299.8028
Capsule,2.301561,10,12,0,299.8028
34


Capsule (2),2.820068,14,10,1,299.9338
Capsule (6),1.224429,13,16,0,299.9338
Capsule (5),1.756361,17,10,1,299.9338
Capsule (3),0.1127978,11,9,1,299.9338
Capsule (4),0.0067278,12,14,0,299.9338
Capsule (7),0.4156474,13,11,1,299.9338
Capsule (1),2.648736,12,17,0,299.9338
Capsule,0.217505,7,12,0,299.9338
35


Capsule (2),8.403363,7,8,0,299.8393
Capsule (6),2.031041,12,13,0,299.8393
Capsule (5),0.0066881,13,10,1,299.8393
Capsule (3),0.0064751,10,14,0,299.8393
Capsule (4),0.0159747,11,10,1,299.8393
Capsule (7),0.0148533,16,9,1,299.8393
Capsule (1),1.200293,9,13,0,299.8393
Capsule,12.01063,9,10,0,299.8393
36


Capsule (2),0.0072186,15,10,1,299.947
Capsule (6),0.0069792,12,18,0,299.947
Capsule (5),0.1824317,14,16,0,299.947
Capsule (3),2.366109,16,10,1,299.947
Capsule (4),3.583369,14,13,1,299.947
Capsule (7),3.330516,7,9,0,299.947
Capsule (1),0.0110306,9,10,0,299.947
Capsule,0.0114486,12,13,0,299.947
37


Capsule (2),0.0056283,8,9,0,299.8636
Capsule (6),0.0167207,15,16,0,299.8636
Capsule (5),4.809099,6,12,0,299.8636
