Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule,0.2051059,17,12,1,164.7074,0
Capsule (7),3.780209,19,13,1,164.7074,0
Capsule (3),0.0042154,15,21,0,164.7074,1
Capsule (4),2.193701,19,14,1,164.7074,1
Capsule (1),2.463037,13,22,0,164.7074,1
Capsule (5),1.500815,12,23,0,164.7074,1
16


Capsule (2),1.198262,19,18,1,180.6845,0
Capsule (6),0.0030439,10,22,0,180.6845,0
Capsule,0.8247952,33,14,2,180.6845,0
Capsule (7),0.4284519,13,21,0,180.6845,0
Capsule (3),1.420766,21,19,1,180.6845,1
Capsule (4),2.360755,18,14,1,180.6845,1
Capsule (1),0.0047949,17,17,1,180.6845,1
Capsule (5),1.836403,15,21,0,180.6845,1
17


Capsule (2),1.481961,16,24,0,188.9495,0
Capsule (6),0.0202406,19,14,1,188.9495,0
Capsule,0.2175032,18,26,0,188.9495,0
Capsule (7),0.0099562,22,16,1,188.9495,0
Capsule (3),1.054209,16,20,0,188.9495,1
Capsule (4),0.1802675,13,14,0,188.9495,1
Capsule (1),3.779801,13,11,1,188.9495,1
Capsule (5),0.6143821,20,12,1,188.9495,1
18


Capsule (2),0.6024851,21,17,1,188.4101,0
Capsule (6),0.0050968,21,17,1,188.4101,0
Capsule,0.0506196,13,21,0,188.4101,0
Capsule (7),4.616374,20,11,1,188.4101,0
Capsule (3),0.7304638,23,21,1,188.4101,1
Capsule (4),1.553412,21,18,1,188.4101,1
Capsule (1),0.08331349,15,23,0,188.4101,1
Capsule (5),0.2118932,15,21,0,188.4101,1
19


Capsule (2),0.0052249,16,20,0,173.0908,0
Capsule (6),3.24171,21,13,1,173.0908,0
Capsule,0.08340351,20,18,1,173.0908,0
Capsule (7),4.878053,15,20,0,173.0908,0
Capsule (3),0.860218,17,23,0,173.0908,1
Capsule (4),0.0047652,19,18,1,173.0908,1
Capsule (1),0.09494939,16,19,0,173.0908,1
Capsule (5),0.7493985,23,16,1,173.0908,1
20


Capsule (2),0.015217,15,15,1,172.5598,0
Capsule (6),0.3205839,16,18,0,172.5598,0
Capsule,2.162314,13,21,0,172.5598,0
Capsule (7),2.184208,20,18,1,172.5598,0
Capsule (3),0.8488131,16,21,0,172.5598,1
Capsule (4),0.0030026,21,16,1,172.5598,1
Capsule (1),1.823476,20,12,1,172.5598,1
Capsule (5),1.226146,18,18,1,172.5598,1
21


Capsule (2),0.0184222,20,17,1,197.8724,0
Capsule (6),1.436018,16,18,0,197.8724,0
Capsule,2.370941,20,18,1,197.8724,0
Capsule (7),0.0128916,19,17,1,197.8724,0
Capsule (3),0.0918503,16,22,0,197.8724,1
Capsule (4),1.644548,19,21,0,197.8724,1
Capsule (1),0.0093933,19,18,1,197.8724,1
Capsule (5),0.165464,20,18,1,197.8724,1
22


Capsule (2),0.1970201,21,18,1,180.2384,0
Capsule (6),0.2722777,18,11,1,180.2384,0
Capsule,0.0053958,15,23,0,180.2384,0
Capsule (7),0.1910756,21,13,1,180.2384,0
Capsule (3),1.737411,15,18,0,180.2384,1
Capsule (4),1.326031,9,15,0,180.2384,1
Capsule (1),6.397326,8,14,0,180.2384,1
Capsule (5),1.033581,20,15,1,180.2384,1
23


Capsule (2),0.0047296,23,15,1,205.8475,0
Capsule (6),0.0049742,24,20,1,205.8475,0
Capsule,0.1345035,12,24,0,205.8475,0
