Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule,0.0039692,13,19,0,178.8474,0
Capsule (2),0.0237754,21,15,1,178.8474,1
Capsule (7),0.6153156,14,13,1,178.8474,1
Capsule (1),2.993421,24,15,1,178.8474,1
Capsule (4),0.0154204,16,23,0,178.8474,1
16


Capsule (5),0.2293672,18,20,0,205.7807,0
Capsule (6),0.0254186,21,16,1,205.7807,0
Capsule (3),2.270217,21,21,1,205.7807,0
Capsule,2.112639,15,15,1,205.7807,0
Capsule (2),1.292233,14,22,0,205.7807,1
Capsule (7),0.0094753,22,20,1,205.7807,1
Capsule (1),1.764966,19,16,1,205.7807,1
Capsule (4),0.0132872,16,16,1,205.7807,1
17


Capsule (5),4.184487,11,18,0,177.4997,0
Capsule (6),0.5077572,7,16,0,177.4997,0
Capsule (3),0.1524811,11,17,0,177.4997,0
Capsule,0.0334455,15,13,1,177.4997,0
Capsule (2),1.640416,25,15,1,177.4997,1
Capsule (7),1.931095,16,13,1,177.4997,1
Capsule (1),0.0758376,15,14,1,177.4997,1
Capsule (4),0.996102,19,13,1,177.4997,1
18


Capsule (5),0.0055622,16,17,0,176.8788,0
Capsule (6),0.6823361,24,16,1,176.8788,0
Capsule (3),0.7608787,16,15,1,176.8788,0
Capsule,0.4997949,19,16,1,176.8788,0
Capsule (2),0.0041301,20,16,1,176.8788,1
Capsule (7),1.467473,19,18,1,176.8788,1
Capsule (1),0.3557311,5,21,0,176.8788,1
Capsule (4),0.0113614,19,19,1,176.8788,1
19


Capsule (5),0.0055622,16,18,0,176.8788,0
Capsule (6),0.6823361,24,16,1,176.8788,0
Capsule (3),0.7608787,16,15,1,176.8788,0
Capsule,0.4997949,19,16,1,176.8788,0
Capsule (2),0.0041301,20,16,1,176.8788,1
Capsule (7),1.467473,20,18,1,176.8788,1
Capsule (1),0.3557311,5,21,0,176.8788,1
Capsule (4),0.0113614,19,19,1,176.8788,1
20


Capsule (5),0.00476,13,25,0,221.9976,0
Capsule (6),0.1632924,18,19,0,221.9976,0
Capsule (3),0.0044021,19,15,1,221.9976,0
Capsule,0.0195928,24,18,1,221.9976,0
Capsule (2),3.419657,19,19,1,221.9976,1
Capsule (7),0.0067815,16,14,1,221.9976,1
Capsule (1),0.4314535,14,22,0,221.9976,1
Capsule (4),0.0369632,26,17,1,221.9976,1
21


