Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (4),0.8504929,22,15,1,206.8151
Capsule (2),1.419656,15,25,0,206.8151
Capsule (3),0.8602475,20,29,0,206.8151
Capsule (1),2.057741,17,22,0,206.8151
Capsule (5),1.259842,16,22,0,206.8151
16,,,,,
,,,,,
,,,,,
Capsule (6),1.843715,22,33,0,267.1332
Capsule (7),0.0067354,26,23,1,267.1332
Capsule,0.0062938,23,22,1,267.1332
Capsule (4),0.0050387,30,26,1,267.1332
Capsule (2),2.779216,13,26,0,267.1332
Capsule (3),0.0044553,35,19,1,267.1332
Capsule (1),0.918739,23,29,0,267.1332
Capsule (5),0.0949004,33,27,1,267.1332
17,,,,,
,,,,,
,,,,,
Capsule (6),0.0289674,29,17,1,252.5862
Capsule (7),0.1554546,24,24,1,252.5862
Capsule,0.6340489,35,25,1,252.5862
Capsule (4),0.6817635,26,26,1,252.5862
Capsule (2),0.3090612,22,29,0,252.5862
Capsule (3),1.244113,16,24,0,252.5862
Capsule (1),0.3577125,17,30,0,252.5862
Capsule (5),0.0108533,31,25,1,252.5862
18,,,,,
,,,,,
,,,,,
Capsule (6),1.083519,35,28,1,261.8382
Capsule (7),2.214727,30,18,1,261.8382
Capsule,0.00431,22,24,0,261.8382
Capsule (4),0.217663,21,23,0,261.8382
Capsule (2),0.056226,21,25,0,261.8382
Capsule (3),0.0040809,13,27,0,261.8382
Capsule (1),0.0045545,27,29,0,261.8382
Capsule (5),0.5205616,29,24,1,261.8382
19,,,,,
,,,,,
,,,,,
Capsule (6),0.5135584,21,28,0,233.6119
Capsule (7),0.1748709,27,26,1,233.6119
Capsule,0.3159985,19,23,0,233.6119
Capsule (4),0.0173612,29,22,1,233.6119
Capsule (2),0.0197792,21,20,1,233.6119
Capsule (3),0.5729332,12,25,0,233.6119
Capsule (1),5.488034,24,24,1,233.6119
Capsule (5),1.03915,35,20,1,233.6119
20,,,,,
,,,,,
,,,,,
Capsule (6),0.016057,28,19,1,267.0199
Capsule (7),0.0040144,31,23,1,267.0199
Capsule,0.4113361,12,30,0,267.0199
Capsule (4),1.627707,35,28,1,267.0199
Capsule (2),1.883001,22,29,0,267.0199
Capsule (3),0.2140989,24,22,1,267.0199
Capsule (1),1.653517,22,26,0,267.0199
Capsule (5),0.1247999,25,22,1,267.0199
21,,,,,
,,,,,
,,,,,
Capsule (6),0.1114035,25,32,0,291.9519
Capsule (7),0.2179049,27,29,0,291.9519
Capsule,0.0198392,33,28,1,291.9519
Capsule (4),3.24812,24,32,0,291.9519
Capsule (2),0.136238,20,35,0,291.9519
Capsule (3),0.1621275,35,28,1,291.9519
Capsule (1),3.023813,33,24,1,291.9519
Capsule (5),3.462969,34,23,1,291.9519
22,,,,,
,,,,,
,,,,,
Capsule (6),0.0220034,16,28,0,222.1748
Capsule (7),1.224921,19,24,0,222.1748
Capsule,0.9987962,16,27,0,222.1748
Capsule (4),0.004996,35,19,1,222.1748
Capsule (2),0.0040251,20,18,1,222.1748
Capsule (3),0.0656921,26,15,1,222.1748
Capsule (1),0.0041043,20,25,0,222.1748
Capsule (5),2.332139,23,19,1,222.1748
23,,,,,
,,,,,
,,,,,
Capsule (6),0.7871331,31,25,1,246.354
Capsule (7),0.0110974,35,26,1,246.354
Capsule,0.0158808,19,20,0,246.354
Capsule (4),0.8527132,12,32,0,246.354
Capsule (2),0.2137918,22,21,1,246.354
Capsule (3),2.399599,20,21,0,246.354
Capsule (1),0.2628141,16,24,0,246.354
Capsule (5),0.0043778,33,19,1,246.354
24,,,,,
,,,,,
,,,,,
Capsule (6),0.2245546,32,29,1,281.9352
Capsule (7),2.796187,25,23,1,281.9352
Capsule,0.255837,29,25,1,281.9352
Capsule (4),3.618327,22,27,0,281.9352
Capsule (2),1.21986,23,36,0,281.9352
Capsule (3),0.0087517,27,31,0,281.9352
Capsule (1),0.0057576,27,24,1,281.9352
Capsule (5),0.0147785,35,25,1,281.9352
25,,,,,
,,,,,
,,,,,
Capsule (6),1.576134,29,26,1,299.9489
Capsule (7),0.1312587,28,30,0,299.9489
Capsule,0.769623,34,27,1,299.9489
Capsule (4),0.0057549,26,34,0,299.9489
Capsule (2),2.983936,29,29,1,299.9489
Capsule (3),0.195237,29,36,0,299.9489
Capsule (1),1.314074,25,25,1,299.9489
Capsule (5),3.314825,26,19,1,299.9489
26,,,,,
,,,,,
,,,,,
Capsule (6),0.9175116,29,20,1,284.4404
Capsule (7),0.0227244,22,28,0,284.4404
Capsule,0.0184628,23,32,0,284.4404
Capsule (4),0.105805,26,25,1,284.4404
Capsule (2),1.753458,29,21,1,284.4404
Capsule (3),0.926057,25,35,0,284.4404
Capsule (1),0.004716,35,30,1,284.4404
Capsule (5),0.0104945,26,24,1,284.4404
27,,,,,
,,,,,
,,,,,
Capsule (6),1.833051,18,39,0,254.8807
Capsule (7),0.0053603,30,23,1,254.8807
Capsule,0.7750185,20,27,0,254.8807
Capsule (4),0.0038575,28,26,1,254.8807
Capsule (2),1.860462,18,24,0,254.8807
Capsule (3),0.2148961,27,22,1,254.8807
Capsule (1),1.403549,23,20,1,254.8807
Capsule (5),0.6332102,35,18,1,254.8807
28,,,,,
,,,,,
,,,,,
Capsule (6),0.0210114,11,36,0,254.9172
Capsule (7),1.307885,24,18,1,254.9172
Capsule,0.017481,35,16,2,254.9172
Capsule (4),0.4266237,22,23,0,254.9172
Capsule (2),2.509115,21,24,0,254.9172
Capsule (3),0.0953216,24,26,0,254.9172
Capsule (1),0.0090384,26,18,1,254.9172
Capsule (5),0.0055214,24,26,0,254.9172
29,,,,,
,,,,,
,,,,,
Capsule (6),0.0044071,16,25,0,251.2989
Capsule (7),0.0041411,21,23,0,251.2989
Capsule,0.0071778,14,25,0,251.2989
Capsule (4),0.0102475,20,28,0,251.2989
Capsule (2),2.105176,25,24,1,251.2989
Capsule (3),0.8533747,35,23,1,251.2989
Capsule (1),0.6666494,28,20,1,251.2989
Capsule (5),0.4889684,33,24,1,251.2989
30,,,,,
,,,,,
,,,,,
Capsule (6),2.918897,24,30,0,273.2091
Capsule (7),0.0040201,30,24,1,273.2091
Capsule,1.459232,24,29,0,273.2091
Capsule (4),2.138726,35,23,1,273.2091
Capsule (2),0.0043713,32,28,1,273.2091
Capsule (3),0.07370259,21,28,0,273.2091
Capsule (1),0.0049171,28,21,1,273.2091
Capsule (5),0.0053265,18,29,0,273.2091
31,,,,,
,,,,,
,,,,,
Capsule (6),0.0037364,32,28,1,299.9525
Capsule (7),0.0052663,32,24,1,299.9525
Capsule,3.927761,20,28,0,299.9525
Capsule (4),0.0200008,33,27,1,299.9525
Capsule (2),0.1739386,28,38,0,299.9525
Capsule (3),0.3508036,26,27,0,299.9525
Capsule (1),0.0089005,26,34,0,299.9525
Capsule (5),4.648376,31,22,1,299.9525
32,,,,,
,,,,,
,,,,,
Capsule (6),0.8779745,22,30,0,281.5025
Capsule (7),1.460693,29,25,1,281.5025
Capsule,0.018983,20,25,0,281.5025
Capsule (4),0.0210552,24,28,0,281.5025
Capsule (2),0.021844,29,26,1,281.5025
Capsule (3),0.0041214,24,23,1,281.5025
