Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (1),2.853729,33,25,1,293.1009
Capsule (7),0.0104425,18,33,0,293.1009
Capsule (6),0.1584279,26,25,1,293.1009
17


Capsule (2),2.331423,22,20,1,252.6337
Capsule (4),0.006943,25,19,1,252.6337
Capsule (3),0.0124732,15,26,0,252.6337
Capsule,0.018235,35,25,1,252.6337
Capsule (5),0.5074803,19,27,0,252.6337
Capsule (1),1.035232,33,22,1,252.6337
Capsule (7),1.545313,29,24,1,252.6337
Capsule (6),0.0101526,12,27,0,252.6337
18


Capsule (2),1.204993,34,21,1,277.9682
Capsule (4),3.674204,24,23,1,277.9682
Capsule (3),1.297576,21,29,0,277.9682
Capsule,1.086645,22,28,0,277.9682
Capsule (5),1.223829,22,23,0,277.9682
Capsule (1),1.854013,24,29,0,277.9682
Capsule (7),3.312109,21,22,0,277.9682
Capsule (6),3.197022,35,28,1,277.9682
19


Capsule (2),0.017133,20,33,0,288.3582
Capsule (4),0.7953007,33,26,1,288.3582
Capsule (3),0.0156754,35,22,1,288.3582
Capsule,2.840789,25,26,0,288.3582
Capsule (5),0.015664,33,19,1,288.3582
Capsule (1),0.0068715,23,28,0,288.3582
Capsule (7),1.571294,18,30,0,288.3582
Capsule (6),0.0051126,21,24,0,288.3582
20


Capsule (2),1.196919,16,24,0,231.2929
Capsule (4),1.632336,18,29,0,231.2929
Capsule (3),0.0578924,19,17,1,231.2929
Capsule,0.0056326,17,24,0,231.2929
Capsule (5),0.0058632,30,19,1,231.2929
Capsule (1),3.004279,22,20,1,231.2929
Capsule (7),0.8304291,21,20,1,231.2929
Capsule (6),0.2027842,35,25,1,231.2929
21


Capsule (2),2.830136,26,30,0,295.5923
Capsule (4),0.1950582,26,26,1,295.5923
Capsule (3),0.0043806,26,28,0,295.5923
Capsule,2.100468,25,33,0,295.5923
Capsule (5),1.156625,24,28,0,295.5923
Capsule (1),0.0114046,27,25,1,295.5923
Capsule (7),3.096897,35,28,1,295.5923
Capsule (6),0.0048303,34,25,1,295.5923
22


Capsule (2),0.0148902,35,26,1,247.8273
Capsule (4),2.383053,27,27,1,247.8273
Capsule (3),2.036332,18,24,0,247.8273
Capsule,2.055219,33,26,1,247.8273
Capsule (5),0.0048409,27,23,1,247.8273
Capsule (1),1.227542,18,27,0,247.8273
Capsule (7),6.648057,18,25,0,247.8273
Capsule (6),1.975274,29,27,1,247.8273
23


Capsule (2),0.1380546,30,28,1,278.2245
Capsule (4),0.0050828,19,33,0,278.2245
Capsule (3),0.0052174,35,19,1,278.2245
Capsule,0.0186672,23,22,1,278.2245
Capsule (5),0.5184269,28,27,1,278.2245
Capsule (1),5.8833,29,24,1,278.2245
Capsule (7),0.0040369,27,31,0,278.2245
Capsule (6),1.309963,23,30,0,278.2245
24


Capsule (2),1.226862,33,22,1,225.7928
Capsule (4),1.417005,35,11,3,225.7928
Capsule (3),2.830613,17,22,0,225.7928
Capsule,2.653319,21,25,0,225.7928
Capsule (5),1.147949,26,17,1,225.7928
Capsule (1),1.444672,7,30,0,225.7928
Capsule (7),1.492334,16,17,0,225.7928
Capsule (6),0.2223826,19,30,0,225.7928
25


Capsule (2),0.0202156,24,22,1,252.6611
Capsule (4),0.017528,23,20,1,252.6611
Capsule (3),4.088772,15,26,0,252.6611
Capsule,1.09587,22,18,1,252.6611
Capsule (5),1.394223,25,24,1,252.6611
Capsule (1),2.276274,16,27,0,252.6611
Capsule (7),2.322342,23,26,0,252.6611
Capsule (6),0.1310477,35,20,1,252.6611
26


Capsule (2),0.491689,13,15,0,223.6986
Capsule (4),2.910909,35,13,2,223.6986
Capsule (3),3.238714,31,23,1,223.6986
Capsule,0.0063395,20,19,1,223.6986
Capsule (5),0.0077821,15,24,0,223.6986
Capsule (1),0.0095099,15,19,0,223.6986
Capsule (7),0.0101504,11,30,0,223.6986
Capsule (6),0.0907696,26,23,1,223.6986
27


Capsule (2),0.0176606,35,25,1,295.5774
Capsule (4),0.018761,30,34,0,295.5774
Capsule (3),0.1841313,31,26,1,295.5774
Capsule,0.1103272,26,29,0,295.5774
Capsule (5),0.014656,34,25,1,295.5774
Capsule (1),1.180514,25,28,0,295.5774
Capsule (7),0.1155059,22,30,0,295.5774
Capsule (6),4.620098,27,33,0,295.5774
28


Capsule (2),4.262027,29,25,1,286.5555
Capsule (4),0.9420343,35,27,1,286.5555
Capsule (3),0.236114,30,31,0,286.5555
Capsule,5.439333,13,35,0,286.5555
Capsule (5),3.815141,33,26,1,286.5555
Capsule (1),3.397859,26,23,1,286.5555
Capsule (7),0.3474675,23,29,0,286.5555
Capsule (6),2.805221,32,25,1,286.5555
29


Capsule (2),0.23905,28,25,1,299.9472
Capsule (4),0.0313662,22,23,0,299.9472
Capsule (3),0.2258038,34,25,1,299.9472
Capsule,3.549522,25,32,0,299.9472
Capsule (5),0.6337263,29,30,0,299.9472
Capsule (1),0.0261962,32,29,1,299.9472
Capsule (7),2.248227,29,30,0,299.9472
Capsule (6),2.248459,20,25,0,299.9472
30


Capsule (2),0.019402,18,28,0,270.0626
Capsule (4),1.88132,29,26,1,270.0626
Capsule (3),0.0253278,35,24,1,270.0626
Capsule,0.0057319,21,23,0,270.0626
Capsule (5),0.0246666,24,24,1,270.0626
Capsule (1),1.034567,30,24,1,270.0626
Capsule (7),0.0164575,24,26,0,270.0626
Capsule (6),0.5878064,16,22,0,270.0626
31


Capsule (2),0.06427,24,29,0,288.8483
Capsule (4),0.8123286,19,24,0,288.8483
Capsule (3),0.08108559,29,30,0,288.8483
Capsule,0.4223683,28,26,1,288.8483
Capsule (5),1.670351,29,29,1,288.8483
Capsule (1),0.0066291,35,22,1,288.8483
Capsule (7),0.0069789,26,30,0,288.8483
Capsule (6),0.6335454,26,26,1,288.8483
32


Capsule (2),0.9754004,29,26,1,258.071
Capsule (4),0.0044529,22,22,1,258.071
Capsule (3),0.0446301,21,26,0,258.071
Capsule,2.283765,19,27,0,258.071
Capsule (5),0.7037486,20,24,0,258.071
Capsule (1),0.1302907,24,22,1,258.071
Capsule (7),1.927391,35,25,1,258.071
Capsule (6),0.00776,27,25,1,258.071
33


Capsule (2),1.958726,35,17,2,220.5115
Capsule (4),1.572669,15,24,0,220.5115
Capsule (3),3.96966,20,19,1,220.5115
Capsule,0.2230704,24,21,1,220.5115
Capsule (5),0.1918043,19,22,0,220.5115
Capsule (1),1.946926,13,22,0,220.5115
Capsule (7),0.4308877,21,18,1,220.5115
Capsule (6),1.388457,13,17,0,220.5115
34


Capsule (2),0.1192766,28,29,0,281.6607
Capsule (4),0.1452224,35,21,1,281.6607
Capsule (3),1.579877,28,28,1,281.6607
Capsule,1.773202,18,25,0,281.6607
Capsule (5),0.0160412,33,21,1,281.6607
Capsule (1),2.867119,26,28,0,281.6607
Capsule (7),0.6233814,20,34,0,281.6607
Capsule (6),0.5644405,30,32,0,281.6607
35


Capsule (2),0.0067015,20,31,0,275.532
Capsule (4),4.308155,25,28,0,275.532
Capsule (3),1.224064,28,22,1,275.532
Capsule,0.0065636,19,27,0,275.532
Capsule (5),0.009935,27,27,1,275.532
Capsule (1),3.37446,35,19,1,275.532
Capsule (7),4.745024,26,24,1,275.532
Capsule (6),0.0065588,24,26,0,275.532
36


Capsule (2),0.0185578,32,26,1,299.9597
Capsule (4),0.7789764,31,33,0,299.9597
Capsule (3),1.668215,33,28,1,299.9597
Capsule,1.841154,23,22,1,299.9597
Capsule (5),2.243556,29,32,0,299.9597
Capsule (1),1.436585,20,26,0,299.9597
Capsule (7),0.675377,29,30,0,299.9597
Capsule (6),0.0142581,31,31,1,299.9597
37


Capsule (2),0.040275,24,37,0,299.9612
Capsule (4),0.0055389,30,24,1,299.9612
Capsule (3),2.552745,32,26,1,299.9612
Capsule,0.0047663,22,22,1,299.9612
Capsule (5),1.357662,26,31,0,299.9612
Capsule (1),0.1425277,31,23,1,299.9612
Capsule (7),0.21702,24,31,0,299.9612
Capsule (6),0.0149273,31,26,1,299.9612
38


Capsule (2),0.0043408,26,20,1,299.9749
Capsule (4),0.5433634,26,29,0,299.9749
Capsule (3),0.0126921,27,23,1,299.9749
Capsule,4.351834,22,35,0,299.9749
Capsule (5),2.53721,29,28,1,299.9749
Capsule (1),0.2490253,34,31,1,299.9749
Capsule (7),0.1258534,33,29,1,299.9749
Capsule (6),1.88797,28,30,0,299.9749
39


Capsule (2),0.1859957,29,26,1,299.9624
Capsule (4),1.479933,31,28,1,299.9624
Capsule (3),0.1630183,26,32,0,299.9624
Capsule,0.2185354,22,31,0,299.9624
Capsule (5),0.8198137,32,26,1,299.9624
Capsule (1),3.609219,28,26,1,299.9624
Capsule (7),0.0130046,27,29,0,299.9624
Capsule (6),1.4531,25,22,1,299.9624
40


Capsule (2),0.2196078,25,21,1,251.8928
Capsule (4),0.1432573,20,26,0,251.8928
Capsule (3),0.0085418,25,31,0,251.8928
Capsule,0.9555519,25,25,1,251.8928
Capsule (5),0.0094743,35,20,1,251.8928
Capsule (1),1.407015,20,24,0,251.8928
Capsule (7),1.852809,13,28,0,251.8928
Capsule (6),0.8270415,31,19,1,251.8928
41


Capsule (2),0.0129144,34,24,1,259.758
Capsule (4),0.0053727,19,29,0,259.758
Capsule (3),2.911597,22,23,0,259.758
Capsule,0.0073863,18,28,0,259.758
Capsule (5),0.0055522,22,31,0,259.758
Capsule (1),0.0101359,19,24,0,259.758
Capsule (7),2.247288,35,20,1,259.758
Capsule (6),0.0052678,32,22,1,259.758
42


Capsule (2),0.0064463,21,21,1,262.751
Capsule (4),1.837826,24,25,0,262.751
Capsule (3),4.437412,21,30,0,262.751
Capsule,3.869205,14,29,0,262.751
Capsule (5),0.2762098,35,22,1,262.751
Capsule (1),0.9748719,26,19,1,262.751
Capsule (7),1.194942,22,27,0,262.751
Capsule (6),4.483095,25,15,1,262.751
43


Capsule (2),1.637138,30,20,1,272.9991
Capsule (4),0.005483,30,28,1,272.9991
Capsule (3),0.2226141,17,28,0,272.9991
Capsule,1.168968,20,26,0,272.9991
Capsule (5),1.565921,35,25,1,272.9991
Capsule (1),3.263359,24,33,0,272.9991
Capsule (7),0.4160292,23,29,0,272.9991
Capsule (6),1.260283,34,24,1,272.9991
44


Capsule (2),0.0050418,32,20,1,299.8362
Capsule (4),0.2514043,28,29,0,299.8362
Capsule (3),0.6156407,29,20,1,299.8362
Capsule,0.0066301,25,33,0,299.8362
Capsule (5),0.5892835,24,30,0,299.8362
Capsule (1),0.2142286,28,34,0,299.8362
Capsule (7),1.036815,32,29,1,299.8362
Capsule (6),0.0149316,30,33,0,299.8362
45


Capsule (2),0.0043862,24,27,0,275.3182
Capsule (4),0.9224605,22,24,0,275.3182
Capsule (3),0.0153481,24,20,1,275.3182
Capsule,0.6561417,26,22,1,275.3182
Capsule (5),0.0155911,30,30,1,275.3182
Capsule (1),0.0051335,18,25,0,275.3182
Capsule (7),0.0740414,35,29,1,275.3182
Capsule (6),0.0960466,22,24,0,275.3182
46


Capsule (2),0.0202314,26,29,0,297.8381
Capsule (4),0.0042596,13,28,0,297.8381
Capsule (3),0.0144064,23,33,0,297.8381
Capsule,0.2242904,35,26,1,297.8381
Capsule (5),0.1398095,33,21,1,297.8381
Capsule (1),1.950159,25,21,1,297.8381
Capsule (7),0.0092368,29,27,1,297.8381
Capsule (6),1.104258,28,27,1,297.8381
47


Capsule (2),0.218917,23,32,0,276.3581
Capsule (4),5.553325,19,29,0,276.3581
Capsule (3),0.0054554,31,24,1,276.3581
Capsule,0.3773006,31,27,1,276.3581
Capsule (5),0.6169697,26,26,1,276.3581
Capsule (1),0.0059836,18,21,0,276.3581
Capsule (7),0.9614374,35,19,1,276.3581
Capsule (6),1.818257,24,29,0,276.3581
48


Capsule (7),0.022444,21,27,0,254.6164
Capsule (6),0.017463,24,30,0,254.6164
Capsule (1),0.048076,32,29,1,254.6164
Capsule (5),0.1584307,22,25,0,254.6164
Capsule (2),1.018871,35,21,1,254.6164
Capsule (4),0.6595774,22,27,0,254.6164
Capsule (3),0.5600793,29,32,0,254.6164
Capsule,2.540386,28,22,1,254.6164
49


Capsule (2),0.6170339,27,26,1,247.2148
Capsule (4),0.6618499,25,25,1,247.2148
Capsule (3),1.521773,35,24,1,247.2148
Capsule,0.1247141,23,23,1,247.2148
Capsule (5),0.0081271,22,22,1,247.2148
Capsule (1),1.611879,27,31,0,247.2148
Capsule (7),0.0147297,16,26,0,247.2148
Capsule (6),0.2129908,26,24,1,247.2148
50


Capsule (2),1.881732,35,18,1,271.0139
Capsule (4),0.9520863,23,31,0,271.0139
Capsule (3),0.0060792,24,35,0,271.0139
Capsule,0.0109412,21,30,0,271.0139
Capsule (5),0.3198456,26,32,0,271.0139
Capsule (1),0.2094543,31,20,1,271.0139
Capsule (7),0.09891471,26,21,1,271.0139
Capsule (6),1.021882,27,26,1,271.0139
51


Capsule (2),8.943248,14,21,0,216.3994
Capsule (4),2.208436,18,20,0,216.3994
Capsule (3),0.5710846,35,17,2,216.3994
Capsule,0.6191722,18,21,0,216.3994
Capsule (5),2.247687,25,22,1,216.3994
Capsule (1),0.1972393,15,21,0,216.3994
Capsule (7),1.601879,19,16,1,216.3994
Capsule (6),0.1165598,16,22,0,216.3994
52


Capsule (2),0.0045137,35,24,1,244.4019
Capsule (4),0.5637044,22,22,1,244.4019
Capsule (3),1.573673,27,23,1,244.4019
Capsule,0.3562808,28,22,1,244.4019
Capsule (5),1.089939,25,26,0,244.4019
Capsule (1),2.020777,17,22,0,244.4019
Capsule (7),0.2067081,15,32,0,244.4019
Capsule (6),0.3261676,23,21,1,244.4019
53


Capsule (2),0.0132888,21,19,1,230.5572
Capsule (4),3.107715,22,26,0,230.5572
Capsule (3),2.242274,12,27,0,230.5572
Capsule,0.0104554,32,21,1,230.5572
Capsule (5),5.532137,35,25,1,230.5572
Capsule (1),0.0038505,24,22,1,230.5572
Capsule (7),0.8151774,22,22,1,230.5572
Capsule (6),0.0048042,15,21,0,230.5572
54


Capsule (2),0.7550361,17,18,0,196.1273
Capsule (4),0.0035266,35,14,2,196.1273
Capsule (3),0.015768,15,21,0,196.1273
Capsule,1.022646,21,17,1,196.1273
Capsule (5),0.0053961,15,27,0,196.1273
Capsule (1),0.0030292,19,17,1,196.1273
Capsule (7),0.9078414,15,19,0,196.1273
Capsule (6),0.0098973,16,20,0,196.1273
55


Capsule (2),0.0021149,30,34,0,299.9918
Capsule (4),0.0073552,30,30,1,299.9918
Capsule (3),2.386464,28,29,0,299.9918
Capsule,3.375658,26,23,1,299.9918
Capsule (5),2.407056,33,26,1,299.9918
Capsule (1),1.268981,33,29,1,299.9918
Capsule (7),0.3352858,24,34,0,299.9918
Capsule (6),1.938699,29,28,1,299.9918
56


Capsule (2),0.0120526,33,28,1,299.9757
Capsule (4),0.6712434,23,30,0,299.9757
Capsule (3),3.3601,31,22,1,299.9757
Capsule,0.0024335,25,28,0,299.9757
Capsule (5),0.0056711,19,25,0,299.9757
Capsule (1),3.618561,34,26,1,299.9757
Capsule (7),0.3738085,18,29,0,299.9757
Capsule (6),2.878637,30,25,1,299.9757
57


Capsule (2),0.0021475,28,27,1,299.9734
Capsule (4),0.1257655,25,24,1,299.9734
Capsule (3),0.013047,22,35,0,299.9734
Capsule,0.0053394,27,23,1,299.9734
Capsule (5),4.135329,34,26,1,299.9734
Capsule (1),0.1814361,34,30,1,299.9734
Capsule (7),0.0385192,31,27,1,299.9734
Capsule (6),0.0022926,22,31,0,299.9734
58


Capsule (2),0.0226306,35,25,1,268.1078
Capsule (4),0.6199876,25,29,0,268.1078
Capsule (3),1.250142,26,18,1,268.1078
Capsule,0.084782,25,29,0,268.1078
Capsule (5),0.3859539,23,23,1,268.1078
Capsule (1),1.070145,22,22,1,268.1078
Capsule (7),0.9890936,23,28,0,268.1078
Capsule (6),0.2164653,23,28,0,268.1078
59


Capsule (2),0.0291983,17,21,0,224.1717
Capsule (4),0.0053944,25,14,1,224.1717
Capsule (3),0.3624371,14,19,0,224.1717
Capsule,3.766441,35,16,2,224.1717
Capsule (5),2.965938,27,20,1,224.1717
Capsule (1),0.6220203,20,23,0,224.1717
Capsule (7),2.089897,11,26,0,224.1717
Capsule (6),0.3415402,11,21,0,224.1717
60


Capsule (2),1.23524,20,21,0,281.132
Capsule (4),0.0056048,19,34,0,281.132
Capsule (3),0.0074638,28,21,1,281.132
Capsule,0.918646,24,29,0,281.132
Capsule (5),0.9804442,33,28,1,281.132
Capsule (1),1.954242,35,21,1,281.132
Capsule (7),1.746185,22,32,0,281.132
Capsule (6),1.837452,29,24,1,281.132
61


Capsule (2),6.592766,16,22,0,256.6682
Capsule (4),1.188692,28,28,1,256.6682
Capsule (3),1.032437,35,18,1,256.6682
Capsule,0.5399827,23,27,0,256.6682
Capsule (5),0.2058976,27,24,1,256.6682
Capsule (1),2.012507,25,24,1,256.6682
Capsule (7),1.727744,18,28,0,256.6682
Capsule (6),0.0146429,27,28,0,256.6682
62


Capsule (2),0.3848024,34,30,1,299.9176
Capsule (4),0.064168,29,37,0,299.9176
Capsule (3),0.8204306,33,27,1,299.9176
Capsule,0.0196072,19,24,0,299.9176
